"Materials Table.  Posted Version 12.7, 8-Feb-2012",,,,,,,,,Added cost calculation,,,,
Material ID,Material,Supplier,Category,Table Price,Unit 1,Unit 2,C1,C2,Size1,Size2,Calc Value,Modified,Comments
124,"Master Cylinder, Brembo, XA3.G1.A2/L2",Brembo,Brake System, $317.00 ,unit,,,,,,,29-Mar-09,Front Pivot Fixing with Vertical Bearing
125,"Master Cylinder, Bremob, 10.9243.54/96",Brembo,Brake System, $167.50 ,unit,,,,,,,29-Mar-09,Two Bolt Fixing
126,"Master Cylinder, Bremob, 10.6815.16/97",Brembo,Brake System, $193.00 ,unit,,,,,,,29-Mar-09,Single Nut Fixing
127,"Master Cylinder, Centric Parts, CE130.51017",Centric,Brake System, $51.00 ,unit,,,,,,,1-Mar-09,
128,"Master Cylinder, Girling",Girling,Brake System, $44.00 ,unit,,,,,,,3-Aug-09,
129,"Master Cylinder, Honda CBR600F4i, 43510MBW006",Honda,Brake System, $127.20 ,unit,,,,,,,18-Apr-10,
130,"Master Cylinder, Hyundai Mobis, 41610-2D100",Hyundai Mobis,Brake System, $28.00 ,unit,,,,,,,20-Mar-10,
131,"Master Cyilnder, ISR, 21-010-OE",ISR,Brake System, $81.00 ,unit,,,,,,,18-Apr-10,
132,"Master Cylinder, Magura, 10.5mm",Magura,Brake System, $55.00 ,unit,,,,,,,20-Mar-10,
133,"Master Cylinder, Magura, 770.50",Magura,Brake System, $222.50 ,unit,,,,,,,20-Mar-10,
134,"Master Cylinder, Magura, 770.1",Magura,Brake System, $222.50 ,unit,,,,,,,20-Mar-10,
135,"Master Cylinder, New Concept Products, G3",New Concept Products,Brake System, $32.50 ,unit,,,,,,,26-Mar-09,
136,"Master Cylinder, NISSIN, 08-2RM-14-02",Nissin,Brake System, $55.00 ,unit,,,,,,,,
137,"Master Cylinder, NISSIN, 08-4RM-15-05",Nissin,Brake System, $57.00 ,unit,,,,,,,,
138,"Master cylinder, Nissin, 153-M00-125B",Nissin,Brake System, $55.00 ,unit,,,,,,,1-Mar-09,
139,"Master Cylinder, Student Made",Student Built,Brake System, $-   ,unit,,,,,,,,
140,"Master Cylinder, Suzuki OEM 69600-16G00",Suzuki,Brake System, $65.00 ,unit,,,,,,,23-May-10,
141,"Master Cylinder, Tilton, Model 73",Tilton,Brake System, $27.50 ,unit,,,,,,,,
142,"Master Cylinder, Tilton, Model 74",Tilton,Brake System, $39.50 ,unit,,,,,,,,
143,"Master Cylinder, Tilton, Model 75",Tilton,Brake System, $49.50 ,unit,,,,,,,,
144,"Master Cylinder, Tilton, Model 76",Tilton,Brake System, $62.50 ,unit,,,,,,,,
145,"Master Cylinder, Tilton, Model 77",Tilton,Brake System, $197.50 ,unit,,,,,,,,
146,"Master Cylinder, Tripmatic & Speed 18771",Tripmatic,Brake System, $30.50 ,unit,,,,,,,23-May-10,
147,"Master Cylinder, Wilwood, 260-1304",Wilwood,Brake System, $27.00 ,unit,,,,,,,1-Mar-10,
148,"Master Cylinder, Wilwood, 260-2636",Wilwood,Brake System, $27.00 ,unit,,,,,,,1-May-09,
